date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:07:53	66984/66984	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-product-details3.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-product-details3.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:53	58895/58895	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-product-details4.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-product-details4.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:54	44792/44792	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:19%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-about-us.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-about-us.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:55	40308/40308	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:22%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-dashboard.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-dashboard.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:56	39499/39499	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-register.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-register.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:56	44638/44638	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:19%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-blog-post.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-blog-post.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:57	42778/42778	---M-Z	200	added ('OK')	text/html	date:Tue,%2014%20Feb%202017%2018:13:21%20GMT	http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-contact-us.html	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6-contact-us.html	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:59	80786/80786	---M--	200	added ('OK')	image/png	date:Tue,%2014%20Feb%202017%2018:26:39%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/slide3.png	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/slide3.png	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:59	93795/93795	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:26:38%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/slide2.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/slides/shop6/slide2.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
12:07:59	13264/13264	---M--	200	added ('OK')	image/jpeg	date:Tue,%2014%20Feb%202017%2018:25:23%20GMT	http://preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner1.jpg	C:/Mis%20lugares%20Web/fide/preview.oklerthemes.com/porto/5.4.0/img/demos/shop/banners/shop6/banner1.jpg	(from http://preview.oklerthemes.com/porto/5.4.0/shop/demo-shop-6.html)
